School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,School_Type,Primary_Category,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Secondary_Contact_Title,Secondary_Contact,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Facebook,Twitter,Youtube,Pinterest,Attendance_Boundaries,Grades_Offered_All,Grades_Offered,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,ADA_Accessible,Dress_Code,PreK_School_Day,Kindergarten_School_Day,School_Hours,Freshman_Start_End_Time,After_School_Hours,Earliest_Drop_Off_Time,Classroom_Languages,Bilingual_Services,Refugee_Services,Title_1_Eligible,PreSchool_Inclusive,Preschool_Instructional,Significantly_Modified,Hard_Of_Hearing,Visual_Impairments,Transportation_Bus,Transportation_El,Transportation_Metra,School_Latitude,School_Longitude,Average_ACT_School,Mean_ACT,College_Enrollment_Rate_School,College_Enrollment_Rate_Mean,Graduation_Rate_School,Graduation_Rate_Mean,Overall_Rating,Rating_Status,Rating_Statement,Classification_Description,School_Year,Third_Contact_Title,Third_Contact_Name,Fourth_Contact_Title,Fourth_Contact_Name,Fifth_Contact_Title,Fifth_Contact_Name,Sixth_Contact_Title,Sixth_Contact_Name,Seventh_Contact_Title,Seventh_Contact_Name,Location
610158,5720,29271,SAYRE,Harriet E Sayre Elementary Language Academy,Neighborhood,ES,N,Y,Y,Y,Sayre is a high performing language academy with a culturally diverse student body in an involved community. As a World Language Magnet Cluster Program school we strive to integrate language and culture with all content areas. Sayre’s students and teachers have won numerous awards and accolades through active and enthusiastic participation in fairs and competitions.,Principal,Folasade U Adekunle,NA,NA,1850 N NEWLAND AVE,Chicago,Illinois,60707,7735343351,7735343394,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610158,http://www.sayre.cps.edu,NA,NA,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",451,301,54,49,191,184,48,6,3,0,0,18,1,0,There are 451 students enrolled at SAYRE.  66.7% are Low Income Students.  12% are Diverse Learners.  10.9% are Limited English Learners.,The largest demographic at SAYRE is Black.  This demographic makes up 42.4% of the student population.  The second greatest demographic is Hispanic at 40.8%.,Generally accessible,Y,Half Day,Full Day,7:30 AM-2:30 PM,NA,NA,7:20 am,NA,NA,NA,Y,NA,NA,NA,NA,NA,"90, 307",Blue,Milwaukee District West (MD-W),41.914151,-87.798721,NA,18.4,NA,57.9,NA,73.5,Level 2,Provisional Support,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1850 N NEWLAND AVE
Chicago, Illinois 60707
(41.914151, -87.798721)"
610282,7040,26301,MCNAIR,Ronald E McNair Elementary School,Neighborhood,ES,N,Y,Y,Y,"McNair is a neighborhood school with a focus on science through the participation in the Chicago Math & Science Initiative. The school features music and a science lab for all grades and Internet access through classroom connections. The school’s partners include Edison Alliance, Epstein and Sons, Westside Ministers Coalition, Hope Foundation and Chicago Children’s Choir.",Principal,Benetrice Leneice Whitfield,Assistant Principal,Benetrice Whitfield,4820 W WALTON ST,Chicago,Illinois,60651,7735348980,7735340668,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610282,http://mcnair.auslchicago.org/,NA,NA,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",399,345,91,26,327,64,1,1,1,0,0,5,0,0,There are 399 students enrolled at MCNAIR.  86.5% are Low Income Students.  22.8% are Diverse Learners.  6.5% are Limited English Learners.,The largest demographic at MCNAIR is Black.  This demographic makes up 82% of the student population.  The second greatest demographic is Hispanic at 16%.,Fully Accessible,Y,Half Day,Full Day,7:30 AM-2:30 PM,NA,NA,NA,NA,N,N,Y,NA,NA,Y,NA,NA,"54, 70",NA,NA,41.897819,-87.746731,NA,18.4,NA,57.9,NA,73.5,Level 1+,Intensive Support,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,Academic Director,Tasia White,NA,NA,NA,NA,NA,NA,NA,NA,"4820 W WALTON ST
Chicago, Illinois 60651
(41.897819, -87.746731)"
609996,4020,23821,HOLDEN,Charles N Holden Elementary School,Neighborhood,ES,N,Y,Y,Y,"Holden has a uniquely integrated blend of art and technology throughout the curriculum of the Fine and Performing Arts Magnet Program. The school is widely recognized for outstanding student artwork. The school offers morning tutorial, intensive after-school reading, special education services, and a bilingual program, and provides mobile computer labs and science labs.",Principal,Konstantinos Patsiopoulos,Assistant Principal,Daniel Naliwajko,1104 W 31ST ST,Chicago,Illinois,60608,7735357200,7735357113,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609996,http://www.Holdenschool.org,NA,NA,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",500,414,63,113,44,299,61,90,1,0,0,5,0,0,There are 500 students enrolled at HOLDEN.  82.8% are Low Income Students.  12.6% are Diverse Learners.  22.6% are Limited English Learners.,The largest demographic at HOLDEN is Hispanic.  This demographic makes up 59.8% of the student population.  The second greatest demographic is Asian at 18%.,No/unknown accessibility,Y,Half Day,Full Day,08:20 AM-03:20 PM,NA,3:30 - 4:30 PM,8:00 AM,NA,Y,N,Y,NA,NA,NA,NA,NA,"8, 62","Orange, Red",NA,41.838027,-87.653792,NA,18.4,NA,57.9,NA,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1104 W 31ST ST
Chicago, Illinois 60608
(41.838027, -87.653792)"
400079,3344,66395,ACERO - ZIZUMBO,Acero Charter Schools - SPC Daniel Zizumbo,Charter,ES,N,Y,Y,N,"UNO Charter School Network (UCSN) elementary schools are known for their strong parent partnerships, structured learning environments, rigorous curriculum and an individualized approach that develops and empowers students. UCSN schools provide a strong academic foundation for students at the elementary level that helps them master the fundamental skills necessary for success in high school and beyond. At UCSN, academic success is not hope; it is an expectation.  ",Director,Mr. Christopher Allen,NA,NA,4248 W 47TH ST,Chicago,Illinois,60632,7735793470,7733765605,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400079,http://www.ucsnschools.org,https://www.facebook.com/UNOCharterSchoolNetwork,https://twitter.com/ucsnschools,NA,NA,N,"K,1,2,3,4,5,6,7,8",K-8,619,539,55,253,1,596,10,1,2,0,0,2,0,7,There are 619 students enrolled at ACERO - ZIZUMBO.  87.1% are Low Income Students.  8.9% are Diverse Learners.  40.9% are Limited English Learners.,The largest demographic at ACERO - ZIZUMBO is Hispanic.  This demographic makes up 96.3% of the student population.  The second greatest demographic is White at 1.6%.,Fully Accessible,Y,NA,Full Day,8:00 AM-3:30 PM,NA,NA,07:15 AM,Spanish,Y,NA,Y,NA,NA,NA,NA,NA,NA,Orange,NA,41.810135,-87.730495,NA,18.4,NA,57.9,NA,73.5,Level 1+,Not Applicable,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2016-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4248 W 47TH ST
Chicago, Illinois 60632
(41.810135, -87.730495)"
610089,5020,24621,MURPHY,John B Murphy Elementary School,Neighborhood,ES,N,Y,Y,Y,"John B. Murphy Elementary School has a long and proud tradition of serving children, their families and our neighborhood. As a Fine and Performing Arts Neighborhood Magnet Cluster School, success is defined by academic and social achievement while embracing the whole child. Through these means we develop an appreciation of the arts through a variety of experiences in music, visual arts, dance and drama. We align our social approach to children and families to the Responsive Classroom (Preschool-Grade 4) and Developmental Designs (Grade 5-8) methods. We have a long-term investment into the success of each student and family that targets their success in college, career and life. We have been awarded Exemplary SEL status and work to achieve greater improvements every day. ",Principal,Christine Dagny Zelenka,Assistant Principal,Rebeca Shick,3539 W GRACE ST,Chicago,Illinois,60618,7735345223,7735345212,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610089,http://www.murphy.cps.edu/,https://www.facebook.com/JohnBMurphySchool,http://twitter.com/jbmurphyschool,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",523,371,81,156,15,396,76,15,2,0,0,18,1,0,There are 523 students enrolled at MURPHY.  70.9% are Low Income Students.  15.5% are Diverse Learners.  29.8% are Limited English Learners.,The largest demographic at MURPHY is Hispanic.  This demographic makes up 75.7% of the student population.  The second greatest demographic is White at 14.5%.,Generally accessible,Y,Full and Half Day,Full Day,08:00 AM-03:00PM,NA,NA,7:50 AM,"Spanish, Spanish for Heritage Speakers",Y,Y,Y,NA,NA,NA,NA,NA,"82, 152",Blue,NA,41.950078,-87.716832,NA,18.4,NA,57.9,NA,73.5,Level 2+,Good Standing,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,Clerk,Laura Aguirre,NA,NA,NA,NA,NA,NA,NA,NA,"3539 W GRACE ST
Chicago, Illinois 60618
(41.950078, -87.716832)"
609792,2190,22171,BATEMAN,Newton Bateman Elementary School,Neighborhood,ES,N,Y,Y,Y,"Bateman is an all-inclusive, learning environment. Our parent satisfaction rate is 92%. The school been awarded the Comprehensive Gifted Program for Grades 1-8. Our Pre-K program is nationally accredited by NAEYC (National Assoc. for the Education of Young Children). We have a chapter in the National Juniors Honor Society for eligible 6th-8th graders who meet the criteria.",Principal,Georgia Davos-Vetas,Assistant Principal,Kathryn Kloepper,4220 N RICHMOND ST,Chicago,Illinois,60618,7735345055,7735345052,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609792,http://bateman.cps.edu,https://www.facebook.com/batemanes,https://twitter.com/BatemanES,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",1007,770,124,335,28,806,110,42,6,0,0,12,3,0,There are 1007 students enrolled at BATEMAN.  76.5% are Low Income Students.  12.3% are Diverse Learners.  33.3% are Limited English Learners.,The largest demographic at BATEMAN is Hispanic.  This demographic makes up 80% of the student population.  The second greatest demographic is White at 10.9%.,Generally accessible,Y,Half Day,Full Day,08:15 AM-03:15 PM,NA,NA,8:05 AM,NA,Y,NA,Y,Y,NA,NA,NA,NA,78,NA,NA,41.95822,-87.702151,NA,18.4,NA,57.9,NA,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,Dean of School Climate and Culture,Alexander Fernandez,NA,NA,NA,NA,NA,NA,NA,NA,"4220 N RICHMOND ST
Chicago, Illinois 60618
(41.95822, -87.702151)"
610083,4950,30051,BEARD,Daniel C Beard Elementary School,Special Education,ES,N,N,Y,Y,"Beard School is an Early Childhood center with two different types of programs. We have a very large preschool program and diverse learner program. We have full and half day preschool programs comprised of general education, blended and instructional support programs. All of our preschool programs have a Gold Circle of Quality Excelerate rating with the state of Illinois. Our programs promote language, literacy, math, cognitive and motor skill development while nurturing social emotional learning. Teachers use the Creative curriculum to provide a balanced literacy program to all students. If students require continued supports after preschool, then they are referred to our diverse learner program where we will continue to provide students with needed supports until 3rd grade.  Staff members are trained specialists in working with students on the autism spectrum and other significant disabilities. Beard’s cluster programs are specifically designed to have an academic focus integrated with social and emotional learning. Our role is to prepare all students to return to their next school setting and provide them with the foundations that will enable them to be successful.  ",Principal,Manda M Lukic,Assistant Principal,Kerry Rush - kmelton@cps.edu,6445 W STRONG ST,Chicago,Illinois,60656,7735341228,7735341247,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610083,http://www.beard.cps.edu,https://www.facebook.com/Beard-School-1450595081913651/,https://twitter.com/beardprincipal,NA,NA,N,"PK,K,1,2,3","PK,K-3",183,90,119,70,7,83,69,15,2,0,0,6,1,0,There are 183 students enrolled at BEARD.  49.2% are Low Income Students.  65% are Diverse Learners.  38.3% are Limited English Learners.,The largest demographic at BEARD is Hispanic.  This demographic makes up 45.4% of the student population.  The second greatest demographic is White at 37.7%.,Fully Accessible,N,Full and Half Day,Full Day,07:30 AM - 02:30 PM,NA,NA,NA,NA,Y,NA,N,Y,Y,Y,NA,NA,"86, 91, 81W",Blue,NA,41.970125,-87.78963,NA,18.4,NA,57.9,NA,73.5,Inability to Rate,Good Standing,This school did not have enough data for a 2015-2016 Performance Policy Rating.,Schools for students with disabilities who reside in specified geographic locations. Acceptance based on students’ Individualized Education Program.,School Year 2016-2017,Counselor,Andrea Patrinos - adpatrinos@cps.edu,School Clerk,Olga Arbelo - omarbelo@cps.edu,NA,NA,NA,NA,NA,NA,"6445 W STRONG ST
Chicago, Illinois 60656
(41.970125, -87.78963)"
609978,3870,23641,SMITH,Wendell Smith Elementary School,Neighborhood,ES,N,Y,Y,Y,"Wendell Smith Elementary School is a neighborhood school that offers a general curriculum. Students have access to two computer labs, have computers in their classrooms, and various other types of technology.   Wendell Smith students are rewarded for honor roll, perfect attendance, and citizenship. Extracurricular activities at Smith include basketball, games club, cheerleading, homework help, flag football, and track, just to name a few.   The school partners with Gately Park and Metropolitan Family Services.",Principal,Tiffany D Brown,Assistant Principal,Charessa Maiden-McNeal,744 E 103RD ST,Chicago,Illinois,60628,7735355689,7735355101,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609978,http://wendellsmithcps.enschool.org/,NA,NA,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",355,320,57,1,354,1,0,0,0,0,0,0,0,0,There are 355 students enrolled at SMITH.  90.1% are Low Income Students.  16.1% are Diverse Learners.  0.3% are Limited English Learners.,The largest demographic at SMITH is Black.  This demographic makes up 99.7% of the student population.  The second greatest demographic is Hispanic at 0.3%.,No/unknown accessibility,Y,Full Day,Full Day,08:15 AM-03:15 PM,NA,3:15 PM- 5:15 PM,8:00 AM,NA,NA,NA,Y,NA,NA,NA,NA,NA,"34, 106, 115",Red,Metra Electric District (ME),41.707558,-87.60466,NA,18.4,NA,57.9,NA,73.5,Level 1+,Intensive Support,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,Resident Principal,Turan Crockett,NA,NA,NA,NA,NA,NA,NA,NA,"744 E 103RD ST
Chicago, Illinois 60628
(41.707558, -87.60466)"
610041,4510,24231,LOCKE J,Josephine C Locke Elementary School,Neighborhood,ES,N,Y,Y,Y,"Locke features the International Baccalaureate Middle Years Programme for students in Grades 6-8, and also offers a wide variety of special programs to bolster and complement its general curriculum. ",Principal,John Gerard Fitzpatrick,Principal,John Fitzpatrick,2828 N OAK PARK AVE,Chicago,Illinois,60634,7735343300,7735343168,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610041,http://www.lockeschool.org,NA,NA,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",1333,1126,201,435,29,1112,138,19,2,0,0,7,10,16,There are 1333 students enrolled at LOCKE J.  84.5% are Low Income Students.  15.1% are Diverse Learners.  32.6% are Limited English Learners.,The largest demographic at LOCKE J is Hispanic.  This demographic makes up 83.4% of the student population.  The second greatest demographic is White at 10.4%.,Generally accessible,Y,Half Day,Full Day,7:45 am-2:45 pm,NA,NA,7:30am,Spanish,Y,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,41.931762,-87.795604,NA,18.4,NA,57.9,NA,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,Assistant Principal,Deborah O'Brien,Assistant Principal,Maureen Komperda,Assistant Principal,Noemi Ramos,NA,NA,NA,NA,"2828 N OAK PARK AVE
Chicago, Illinois 60634
(41.931762, -87.795604)"
609967,3760,23541,FINKL,William F Finkl Elementary School,Neighborhood,ES,N,Y,Y,Y,"A neighborhood school, Finkl Elementary offers a solid core curriculum. The school has a full computer lab, and a mobile lab is used in the classrooms. Finkl enjoys partnerships with namesake A. Finkl and Sons Steel Company, as well as the DePaul University Center for Urban Education. The school has been recognized for ISAT achievement.",Principal,Denise Sharon Lynch,Assistant Principal,Thomas K Peri,2332 S WESTERN AVE,Chicago,Illinois,60608,7735355850,7735354409,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609967,http://www.finklacademy.org/,NA,NA,NA,NA,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",364,321,80,128,43,277,12,2,0,0,0,3,0,27,There are 364 students enrolled at FINKL.  88.2% are Low Income Students.  22% are Diverse Learners.  35.2% are Limited English Learners.,The largest demographic at FINKL is Hispanic.  This demographic makes up 76.1% of the student population.  The second greatest demographic is Black at 11.8%.,Generally accessible,Y,Half Day,Full Day,07:45 AM-02:45 PM,NA,NA,NA,NA,NA,NA,Y,Y,NA,Y,NA,NA,"21, 49",Pink,NA,41.849215,-87.685668,NA,18.4,NA,57.9,NA,73.5,Level 2+,Provisional Support,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2332 S WESTERN AVE
Chicago, Illinois 60608
(41.849215, -87.685668)"
