lat,lon,year_of_crime
34.0437,-118.2455,2015
34.046,-118.2509,2015
34.0478,-118.2502,2015
34.0535,-118.256,2015
34.0435,-118.2471,2015
34.0467,-118.252,2015
34.0401,-118.2668,2015
34.045,-118.264,2015
34.0371,-118.2612,2015
34.0481,-118.2542,2015
34.0481,-118.2507,2015
34.0488,-118.2553,2015
34.0446,-118.245,2015
34.0449,-118.2458,2015
34.0449,-118.2458,2015
34.0408,-118.2644,2015
34.0445,-118.2523,2015
34.0516,-118.2561,2015
34.0449,-118.2458,2015
34.0395,-118.2405,2015
34.0516,-118.2561,2015
34.0467,-118.252,2015
34.0452,-118.2534,2015
34.0407,-118.2468,2015
34.0488,-118.25,2015
34.0412,-118.2436,2015
34.0421,-118.2469,2015
34.0428,-118.2461,2015
34.033,-118.2615,2015
34.0643,-118.2299,2015
34.0643,-118.2299,2015
34.0457,-118.2665,2015
34.0396,-118.259,2015
34.0488,-118.2518,2015
34.0428,-118.2461,2015
34.0449,-118.2458,2015
34.045,-118.2628,2015
34.0449,-118.2458,2015
34.0532,-118.2355,2015
34.0389,-118.2643,2015
34.0468,-118.2415,2015
34.0677,-118.2398,2015
34.0394,-118.2405,2015
34.0481,-118.2507,2015
34.043,-118.242,2015
34.051,-118.2445,2015
34.046,-118.2509,2015
34.0407,-118.2468,2015
34.0444,-118.2407,2015
34.043,-118.242,2015
34.0327,-118.2683,2015
34.0407,-118.2468,2015
34.0466,-118.2427,2015
34.0467,-118.2427,2015
34.0421,-118.2469,2015
34.0446,-118.2507,2015
34.0335,-118.2619,2015
34.0421,-118.2469,2015
34.0373,-118.2503,2015
34.0632,-118.2349,2015
34.041,-118.2432,2015
34.041,-118.2432,2015
34.0445,-118.2523,2015
34.0601,-118.2386,2015
34.0442,-118.2439,2015
34.0419,-118.2485,2015
34.0428,-118.2461,2015
34.0368,-118.2412,2015
34.0394,-118.2496,2015
34.0491,-118.2558,2015
34.0446,-118.245,2015
34.0446,-118.245,2015
34.0395,-118.2405,2015
34.0454,-118.2657,2015
34.0442,-118.2439,2015
34.0457,-118.2665,2015
34.0685,-118.246,2015
34.0449,-118.2458,2015
34.0412,-118.2436,2015
34.0479,-118.2612,2015
34.0421,-118.2469,2015
34.0446,-118.2507,2015
34.0481,-118.2507,2015
34.0446,-118.245,2015
34.0428,-118.2532,2015
34.0382,-118.2665,2015
34.0352,-118.2654,2015
34.0473,-118.2601,2015
34.0581,-118.2371,2015
34.0628,-118.242,2015
34.0363,-118.2672,2015
34.0467,-118.252,2015
34.0483,-118.2631,2015
34.0449,-118.2458,2015
34.0488,-118.2518,2015
34.0437,-118.2455,2015
34.0413,-118.2517,2015
34.0454,-118.2657,2015
